Tipo de símbolo      Símbolo              Número de símbolo    Línea                Columna              
l_NOEL               1                    15                   25                   15                   
MARY                 >==                  34                   25                   17                   
PERSONA              nicolasRojo          52                   25                   21                   
CIERRACUENTO         )                    8                    25                   33                   
FINREGALO            |                    53                   25                   34                   
CIERRAREGALO         }                    12                   26                   4                    
HADA                 elif                 19                   27                   4                    
ABRECUENTO           (                    7                    27                   9                    
l_t_CLAUS            true                 40                   27                   10                   
CIERRACUENTO         )                    8                    27                   14                   
ABREREGALO           {                    11                   27                   16                   
ENVUELVE             for                  21                   28                   8                    
ABRECUENTO           (                    7                    28                   12                   
NOEL                 integer              2                    28                   13                   
PERSONA              i                    52                   28                   21                   
ENTREGA              <=                   39                   28                   23                   
l_NOEL               1                    15                   28                   26                   
FINREGALO            |                    53                   28                   27                   
CHIMENEA             ,                    13                   28                   29                   
PERSONA              i                    52                   28                   31                   
OPENSLAE             <==                  35                   28                   33                   
l_NOEL               10                   15                   28                   37                   
CHIMENEA             ,                    13                   28                   40                   
QUIEN                ++                   43                   28                   42                   
PERSONA              i                    52                   28                   44                   
CIERRACUENTO         )                    8                    28                   45                   
ABREREGALO           {                    11                   28                   47                   
ESCUCHA              read                 27                   29                   11                   
ABRECUENTO           (                    7                    29                   15                   
l_SANTA              "them j boyzz"       16                   29                   29                   
CIERRACUENTO         )                    8                    29                   30                   
FINREGALO            |                    53                   29                   31                   
CIERRAREGALO         }                    12                   30                   8                    
FINREGALO            |                    53                   30                   9                    
CIERRAREGALO         }                    12                   31                   4                    
DUENDE               else                 20                   32                   4                    
ABREREGALO           {                    11                   32                   9                    
CIERRAREGALO         }                    12                   34                   4                    
FINREGALO            |                    53                   34                   5                    
CIERRAREGALO         }                    12                   35                   1                    
FINREGALO            |                    53                   35                   2                    
NOEL                 integer              2                    37                   0                    
RECORRIDO            function             51                   37                   8                    
PERSONA              gogo                 52                   37                   17                   
ABRECUENTO           (                    7                    37                   22                   
CIERRACUENTO         )                    8                    37                   23                   
ABREREGALO           {                    11                   37                   25                   
NOEL                 integer              2                    38                   5                    
PERSONA              var                  52                   38                   13                   
ENTREGA              <=                   39                   38                   17                   
PERSONA              hola                 52                   38                   20                   
ABRECUENTO           (                    7                    38                   24                   
PERSONA              mal                  52                   38                   25                   
CHIMENEA             ,                    13                   38                   28                   
PERSONA              vola                 52                   38                   30                   
CIERRACUENTO         )                    8                    38                   34                   
FINREGALO            |                    53                   38                   35                   
FINREGALO            |                    53                   38                   36                   
ENVIA                return               24                   39                   5                    
PERSONA              var                  52                   39                   12                   
FINREGALO            |                    53                   39                   15                   
ENVIA                return               24                   40                   5                    
PERSONA              hola                 52                   40                   12                   
ABRECUENTO           (                    7                    40                   16                   
PERSONA              mal                  52                   40                   17                   
CHIMENEA             ,                    13                   40                   20                   
PERSONA              vola                 52                   40                   22                   
CIERRACUENTO         )                    8                    40                   26                   
FINREGALO            |                    53                   40                   27                   
FINREGALO            |                    53                   40                   28                   
CIERRAREGALO         }                    12                   41                   1                    
FINREGALO            |                    53                   41                   2                    
